Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SK6812MINI-E","MX_SK6812MINI-E_REV",167.640000,-105.410000,180.000000,bottom
"D4","SK6812MINI-E","MX_SK6812MINI-E_REV",187.960000,-105.410000,180.000000,bottom
"J1","OLED","PinHeader_1x04_P2.54mm_Vertical",195.072000,-89.906000,0.000000,bottom
"OLED","OLED","OLED 0.91",158.750000,-92.075000,0.000000,bottom
"X","Wooting_1.00u","Wooting_1.00u",165.100000,-100.330000,180.000000,bottom
"Z","Wooting_1.00u","Wooting_1.00u",185.420000,-100.330000,180.000000,bottom
"C1","1u","C_0805_2012Metric",187.905601,-91.185999,180.000000,top
"C2","27p","C_0402_1005Metric",176.784000,-106.934000,180.000000,top
"C3","27p","C_0402_1005Metric",180.467000,-108.966000,-90.000000,top
"C4","1u","C_0805_2012Metric",184.857602,-93.979997,90.000000,top
"C5","100n","C_0402_1005Metric",174.371000,-93.218000,90.000000,top
"C6","100n","C_0402_1005Metric",180.848000,-106.299000,0.000000,top
"C7","100n","C_0402_1005Metric",175.387000,-93.218000,90.000000,top
"C8","1u","C_0402_1005Metric",179.832000,-96.393000,90.000000,top
"C9","100n","C_0402_1005Metric",173.101000,-102.108000,90.000000,top
"C10","1u","C_0402_1005Metric",180.848000,-96.393000,90.000000,top
"C11","100n","C_0402_1005Metric",181.864000,-96.393000,90.000000,top
"C12","100n","C_0402_1005Metric",182.880000,-99.060000,0.000000,top
"C13","100n","C_0402_1005Metric",182.499000,-102.108000,90.000000,top
"C14","100n","C_0402_1005Metric",177.419000,-93.218000,90.000000,top
"C15","100n","C_0402_1005Metric",176.403000,-93.218000,90.000000,top
"C16","100n","C_0402_1005Metric",172.720000,-99.187000,180.000000,top
"C17","0.1u","C_0402_1005Metric",184.404000,-105.918000,-90.000000,top
"C18","0.1u","C_0402_1005Metric",171.196000,-104.013000,-90.000000,top
"C19","100n","C_0402_1005Metric",163.322000,-110.772000,90.000000,top
"C20","100n","C_0402_1005Metric",170.307000,-98.326000,90.000000,top
"C21","100n","C_0402_1005Metric",170.561000,-106.426000,0.000000,top
"C22","100n","C_0402_1005Metric",187.502800,-103.174800,0.000000,top
"C23","100n","C_0402_1005Metric",170.307000,-84.046000,-90.000000,top
"C24","100n","C_0402_1005Metric",185.293000,-84.864000,90.000000,top
"C25","100n","C_0402_1005Metric",185.293000,-101.064000,-90.000000,top
"C26","100n","C_0402_1005Metric",183.642000,-111.732000,-90.000000,top
"D2","SK6812MINI","LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm",167.640000,-99.695000,0.000000,top
"D3","SK6812MINI","LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm",167.640000,-84.455000,0.000000,top
"D5","SK6812MINI","LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm",187.960000,-84.455000,180.000000,top
"D6","SK6812MINI","LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm",187.960000,-99.695000,180.000000,top
"IC1","W25Q16JVUXIQ","SON50P300X200X60-9N",173.609000,-95.504000,0.000000,top
"J3","USB-C 2.0 Receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12",177.800000,-80.645000,180.000000,top
"R1","1k","R_0402_1005Metric",172.466000,-92.583000,180.000000,top
"R2","5.1k","R_0402_1005Metric",179.070000,-86.920000,90.000000,top
"R3","27","R_0402_1005Metric",178.435000,-93.218000,-90.000000,top
"R4","27","R_0402_1005Metric",179.578000,-93.218000,-90.000000,top
"R5","1k","R_0402_1005Metric",178.816000,-106.934000,0.000000,top
"R6","5.1k","R_0402_1005Metric",176.022000,-86.920000,90.000000,top
"R7","10k","R_0402_1005Metric",185.420000,-105.916000,90.000000,top
"R8","10k","R_0402_1005Metric",170.180000,-104.011000,90.000000,top
"R9","DNF","C_0402_1005Metric",172.466000,-93.599000,0.000000,top
"RLED1","500","R_0402_1005Metric",171.958000,-110.742000,90.000000,top
"RLED2","500","R_0402_1005Metric",183.642000,-109.220000,-90.000000,top
"SW1","Reset","SW_SPST_TL3342",167.640000,-92.050000,90.000000,top
"U3","RP2040","RP2040-QFN-56",177.800000,-101.600000,0.000000,top
"U4","Hall_Sensor","SOT-23",167.640000,-105.410000,180.000000,top
"U5","Hall_Sensor","SOT-23",187.960000,-105.410000,0.000000,top
"U6","AP2112K-3.3","SOT-23-5",187.960000,-93.980000,180.000000,top
"Y1","JGHC S3212000181080","Crystal_SMD_3225-4Pin_3.2x2.5mm",177.800000,-109.220000,180.000000,top
