Comment,Designator,Footprint,LCSC
Reset,SW1,SW_SPST_TL3342,C115351
1k,"R1,R5",R_0402_1005Metric,C11702
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C5,C6,C7,C9",C_0402_1005Metric,C1525
27p,"C2,C3",C_0402_1005Metric,C1557
USB-C 2.0 Receptacle,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U3,RP2040-QFN-56,C2040
27,"R3,R4",R_0402_1005Metric,C25100
470,"RLED1,RLED2",R_0402_1005Metric,C25117
10k,"R7,R8",R_0402_1005Metric,C25744
5.1k,"R2,R6",R_0402_1005Metric,C25905
1.1A,F1,Fuse_1206_3216Metric,C2760273
PRTR5V0U2X,D7,SOT-143,C2827688
1u,"C1,C4",C_0805_2012Metric,C28323
W25Q16JVUXIQ,IC1,SON50P300X200X60-9N,C2843335
SLSS49E-3,"U4,U5",SOT-23,C2904393
JGHC S3212000181080,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C390764
AP2112K-3.3,U6,SOT-23-5,C51118
SK6812MINI-E,"D1,D4",MX_SK6812MINI-E_REV,C5149201
SK6812MINI,"D2,D3,D5,D6",LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm,C5183448
1u,"C10,C8",C_0402_1005Metric,C52923
